CP,f1,f2,f3,f4,f5,f6,f7,f8
-1.4338,-0.17483,-0.066179,-0.084153,-0.11658,-0.55531,0.13948,-0.27565,0.12957
-1.3139,0.88942,-0.17834,-0.25373,0.70795,-0.15291,0.14777,-0.15828,-0.41665
0.035385,0.29846,0.36675,-0.63157,0.28747,-0.47425,0.79971,-0.65753,-1.1097
-0.4357,1.0406,-0.56057,0.55375,-0.51038,1.2301,0.047167,-0.26787,0.46571
-0.49251,0.66406,-0.14724,0.24186,0.20619,0.52112,0.37885,-0.17149,-0.34042
-0.86768,0.2571,0.26826,-0.56969,-0.10059,-0.17679,0.50642,-0.48654,-0.2195
-0.64975,1.0173,-0.39155,0.088732,0.18206,0.55831,0.47487,-0.098582,-1.2006
-0.88455,0.71149,0.44156,-0.1207,0.74914,0.031501,0.87999,-1.1368,0.23063
-0.83131,0.8266,0.34275,-0.4478,0.31583,0.28701,0.47403,-1.1721,-0.77881
-0.96594,-0.9712,0.91476,-0.54726,1.3158,-2.0409,0.39509,-2.2554,-2.2087
-1.544,2.2527,-0.36458,0.47539,-0.8651,2.5804,1.4222,0.65143,1.4683
-2.4708,1.4142,-0.014857,0.61448,-0.27403,1.4813,-0.27717,-0.8679,0.4674
-3.0738,0.98967,0.21618,0.17711,0.23245,1.1814,0.5968,-1.023,-0.55879
-3.6496,0.46646,0.40242,0.48086,0.6023,0.20177,0.71416,-0.62407,-0.63716
-3.1346,1.3925,0.29954,-0.15245,0.083179,1.233,0.85843,-0.95398,-0.42384
-2.6873,0.68416,0.70535,-0.37604,0.42901,0.67586,0.52038,-1.3432,-1.2053
-2.887,0.93788,0.49342,0.053863,0.3951,0.65724,0.62649,-1.1744,-0.72758
-2.034,0.5586,0.88027,-0.43162,0.066126,0.53172,1.2901,-0.66873,1.3583
-1.2674,1.135,0.18511,1.2697,1.2593,1.029,0.75176,-0.76263,-0.56714
-1.3239,0.38063,0.5532,-0.1405,0.45028,0.21944,0.79375,-0.86318,-1.0832
-1.4371,0.72686,0.30584,-0.53916,-0.18594,0.92876,1.109,-0.20681,-1.4922
-1.3142,1.1578,-0.29761,0.23592,-0.072322,0.95115,-0.17605,-0.38483,-1.1267
